date,WS_80mA_mean,WD_78m_mean
2018-01-01 00:00:00,5.6019,28.19
2018-01-01 00:10:00,5.8562,27.09
2018-01-01 00:20:00,5.8252,38.6
2018-01-01 00:30:00,5.2174,45.29
2018-01-01 00:40:00,3.9243,44.54
2018-01-01 00:50:00,3.1552,76.93
2018-01-01 01:00:00,3.8269,74.55
2018-01-01 01:10:00,4.0979,71.49
2018-01-01 01:20:00,4.2387,73.26
2018-01-01 01:30:00,2.9394,81.2
2018-01-01 01:40:00,2.5363,79.42
2018-01-01 01:50:00,2.4668,83.4
2018-01-01 02:00:00,2.5369,81.6
2018-01-01 02:10:00,2.6746,85.4
2018-01-01 02:20:00,2.3521,71.18
2018-01-01 02:30:00,2.3694,73.4
2018-01-01 02:40:00,3.0982,75.29
2018-01-01 02:50:00,3.5013,73.38
2018-01-01 03:00:00,3.9348,74.28
2018-01-01 03:10:00,3.0684,76.4
2018-01-01 03:20:00,3.0231,75.16
2018-01-01 03:30:00,3.5615,74.36
2018-01-01 03:40:00,3.2278,86.1
2018-01-01 03:50:00,3.8169999999999997,91.8
2018-01-01 04:00:00,3.7395,92.4
2018-01-01 04:10:00,3.7742,96.0
2018-01-01 04:20:00,3.7891,94.0
2018-01-01 04:30:00,3.5894,89.9
2018-01-01 04:40:00,3.4765,92.2
2018-01-01 04:50:00,4.1941,100.5
2018-01-01 05:00:00,4.6995,99.9
2018-01-01 05:10:00,4.1953,98.2
2018-01-01 05:20:00,4.07,87.1
2018-01-01 05:30:00,4.5494,95.7
2018-01-01 05:40:00,4.0316,92.2
2018-01-01 05:50:00,4.4142,94.8
2018-01-01 06:00:00,4.093,89.6
2018-01-01 06:10:00,3.3146,83.7
2018-01-01 06:20:00,4.1445,85.7
2018-01-01 06:30:00,4.0452,66.7
2018-01-01 06:40:00,5.4283,42.99
2018-01-01 06:50:00,5.7632,61.25
2018-01-01 07:00:00,6.7307,67.74
2018-01-01 07:10:00,6.433,59.44
2018-01-01 07:20:00,4.7938,48.38
2018-01-01 07:30:00,5.2236,44.88
2018-01-01 07:40:00,4.8099,64.09
2018-01-01 07:50:00,4.3479,70.82
2018-01-01 08:00:00,3.2048,78.84
2018-01-01 08:10:00,3.051,78.48
2018-01-01 08:20:00,4.5922,69.29
2018-01-01 08:30:00,4.506,64.6
2018-01-01 08:40:00,4.1829,71.57
2018-01-01 08:50:00,3.946,68.98
2018-01-01 09:00:00,3.0126,62.2
2018-01-01 09:10:00,2.6479,57.57
2018-01-01 09:20:00,2.4792,42.81
2018-01-01 09:30:00,4.1457,42.31
2018-01-01 09:40:00,3.5007,39.16
2018-01-01 09:50:00,4.965,38.4
2018-01-01 10:00:00,4.2914,43.47
2018-01-01 10:10:00,5.4035,45.19
2018-01-01 10:20:00,6.2097,37.14
2018-01-01 10:30:00,6.8919,36.04
2018-01-01 10:40:00,7.1896,39.07
2018-01-01 10:50:00,6.4639999999999995,33.4
2018-01-01 11:00:00,7.4315,25.42
2018-01-01 11:10:00,8.6347,20.13
2018-01-01 11:20:00,9.3541,26.38
2018-01-01 11:30:00,8.8084,24.07
2018-01-01 11:40:00,8.1075,24.62
2018-01-01 11:50:00,8.0331,29.79
2018-01-01 12:00:00,8.7277,31.49
2018-01-01 12:10:00,9.2425,40.58
2018-01-01 12:20:00,7.5556,40.17
2018-01-01 12:30:00,7.9401,39.46
2018-01-01 12:40:00,7.4935,50.92
2018-01-01 12:50:00,6.1229,57.85
2018-01-01 13:00:00,6.0981,67.26
2018-01-01 13:10:00,5.236000000000001,68.34
2018-01-01 13:20:00,4.8657,64.92
2018-01-01 13:30:00,4.2145,49.15
2018-01-01 13:40:00,5.5337,38.64
2018-01-01 13:50:00,6.9788,36.32
2018-01-01 14:00:00,9.6084,38.06
2018-01-01 14:10:00,7.9959,40.0
2018-01-01 14:20:00,9.7325,39.39
2018-01-01 14:30:00,7.9959,40.36
2018-01-01 14:40:00,9.1185,38.97
2018-01-01 14:50:00,8.9014,37.48
2018-01-01 15:00:00,10.098,39.71
2018-01-01 15:10:00,11.705,38.83
2018-01-01 15:20:00,10.762,39.54
2018-01-01 15:30:00,9.2115,37.79
2018-01-01 15:40:00,9.3045,38.17
2018-01-01 15:50:00,10.402,36.13
2018-01-01 16:00:00,10.123,35.76
2018-01-01 16:10:00,9.8503,39.69
2018-01-01 16:20:00,9.5216,38.14
2018-01-01 16:30:00,10.799,36.56
2018-01-01 16:40:00,7.9835,36.85
2018-01-01 16:50:00,9.4906,35.24
2018-01-01 17:00:00,9.3975,32.3
2018-01-01 17:10:00,10.024,33.8
2018-01-01 17:20:00,10.452,36.69
2018-01-01 17:30:00,9.4968,36.96
2018-01-01 17:40:00,9.7263,35.79
2018-01-01 17:50:00,8.857999999999999,32.51
2018-01-01 18:00:00,10.111,39.0
2018-01-01 18:10:00,9.7139,37.19
2018-01-01 18:20:00,10.297,27.74
2018-01-01 18:30:00,10.855,34.82
2018-01-01 18:40:00,10.074,32.77
2018-01-01 18:50:00,9.8317,33.75
2018-01-01 19:00:00,9.533999999999999,39.09
2018-01-01 19:10:00,9.9681,39.57
2018-01-01 19:20:00,8.306000000000001,35.97
2018-01-01 19:30:00,10.074,37.43
2018-01-01 19:40:00,9.1619,32.91
2018-01-01 19:50:00,10.105,35.96
2018-01-01 20:00:00,10.65,34.48
2018-01-01 20:10:00,9.9247,33.9
2018-01-01 20:20:00,9.6704,34.98
2018-01-01 20:30:00,10.632,33.08
2018-01-01 20:40:00,9.1743,32.64
2018-01-01 20:50:00,8.6099,34.02
2018-01-01 21:00:00,9.9309,34.43
2018-01-01 21:10:00,9.8689,35.47
2018-01-01 21:20:00,9.6146,37.5
2018-01-01 21:30:00,8.9882,36.75
2018-01-01 21:40:00,8.3866,36.33
2018-01-01 21:50:00,8.4114,34.28
2018-01-01 22:00:00,8.1137,28.49
2018-01-01 22:10:00,8.4362,26.95
2018-01-01 22:20:00,8.2006,33.9
2018-01-01 22:30:00,8.4983,34.88
2018-01-01 22:40:00,7.8284,34.04
2018-01-01 22:50:00,8.0827,28.87
2018-01-01 23:00:00,8.43,33.59
2018-01-01 23:10:00,8.6533,34.66
2018-01-01 23:20:00,9.0688,31.3
2018-01-01 23:30:00,7.7292,30.93
2018-01-01 23:40:00,7.9835,32.63
2018-01-01 23:50:00,7.5059,32.56
2018-01-02 00:00:00,7.8098,28.47
2018-01-02 00:10:00,8.6409,25.81
2018-01-02 00:20:00,8.5045,33.38
2018-01-02 00:30:00,9.1433,31.6
2018-01-02 00:40:00,7.4687,29.25
2018-01-02 00:50:00,7.3571,25.36
2018-01-02 01:00:00,6.8919,28.81
2018-01-02 01:10:00,6.954,22.59
2018-01-02 01:20:00,7.1896,21.12
2018-01-02 01:30:00,8.0765,25.12
2018-01-02 01:40:00,7.5121,26.46
2018-01-02 01:50:00,8.1634,30.66
2018-01-02 02:00:00,8.6843,26.44
2018-01-02 02:10:00,6.8981,29.41
2018-01-02 02:20:00,7.7106,31.31
2018-01-02 02:30:00,8.7836,32.01
2018-01-02 02:40:00,9.3231,30.82
2018-01-02 02:50:00,9.6518,32.03
2018-01-02 03:00:00,9.6332,28.4
2018-01-02 03:10:00,7.8098,23.92
2018-01-02 03:20:00,8.2068,23.31
2018-01-02 03:30:00,8.6037,24.97
2018-01-02 03:40:00,7.8098,23.56
2018-01-02 03:50:00,7.9897,24.7
2018-01-02 04:00:00,7.8719,20.6
2018-01-02 04:10:00,7.9153,13.84
2018-01-02 04:20:00,8.1013,16.74
2018-01-02 04:30:00,7.5307,14.26
2018-01-02 04:40:00,7.8967,18.04
2018-01-02 04:50:00,7.3695,22.32
2018-01-02 05:00:00,6.5446,20.29
2018-01-02 05:10:00,6.9664,15.49
2018-01-02 05:20:00,7.0036,19.76
2018-01-02 05:30:00,6.4578,26.09
2018-01-02 05:40:00,6.7121,23.53
2018-01-02 05:50:00,7.9587,23.98
2018-01-02 06:00:00,8.5665,26.88
2018-01-02 06:10:00,8.3618,25.7
2018-01-02 06:20:00,7.1214,21.21
2018-01-02 06:30:00,7.9029,16.22
2018-01-02 06:40:00,7.6052,20.45
2018-01-02 06:50:00,7.0904,18.86
2018-01-02 07:00:00,6.2965,14.3
2018-01-02 07:10:00,6.7741,18.11
2018-01-02 07:20:00,6.6439,22.09
2018-01-02 07:30:00,6.7679,25.12
2018-01-02 07:40:00,5.787999999999999,25.05
2018-01-02 07:50:00,6.1353,26.0
2018-01-02 08:00:00,6.3896,27.52
2018-01-02 08:10:00,6.2159,25.88
2018-01-02 08:20:00,5.5833,28.79
2018-01-02 08:30:00,5.7384,29.74
2018-01-02 08:40:00,5.9865,29.4
2018-01-02 08:50:00,5.3476,33.43
2018-01-02 09:00:00,6.7369,30.69
2018-01-02 09:10:00,6.8733,31.06
2018-01-02 09:20:00,6.5818,27.91
2018-01-02 09:30:00,6.2531,29.1
2018-01-02 09:40:00,6.2283,33.9
2018-01-02 09:50:00,5.5771,33.97
2018-01-02 10:00:00,7.3447,30.28
2018-01-02 10:10:00,6.0547,34.2
2018-01-02 10:20:00,7.599,35.08
2018-01-02 10:30:00,8.0021,38.43
2018-01-02 10:40:00,6.0609,38.59
2018-01-02 10:50:00,6.8299,52.22
2018-01-02 11:00:00,7.1896,39.83
2018-01-02 11:10:00,9.8937,40.98
2018-01-02 11:20:00,9.4534,43.69
2018-01-02 11:30:00,9.0316,45.46
2018-01-02 11:40:00,7.8222,47.02
2018-01-02 11:50:00,7.7416,48.21
2018-01-02 12:00:00,8.3804,39.21
2018-01-02 12:10:00,8.8952,48.83
2018-01-02 12:20:00,8.6347,44.95
2018-01-02 12:30:00,8.1572,49.0
2018-01-02 12:40:00,7.7726,40.26
2018-01-02 12:50:00,8.368,36.88
2018-01-02 13:00:00,7.4377,46.22
2018-01-02 13:10:00,7.8533,37.85
2018-01-02 13:20:00,8.368,36.19
2018-01-02 13:30:00,7.6610000000000005,37.26
2018-01-02 13:40:00,7.2765,29.81
2018-01-02 13:50:00,6.7989,38.86
2018-01-02 14:00:00,7.3447,32.43
2018-01-02 14:10:00,7.2455,38.69
2018-01-02 14:20:00,6.3338,36.83
2018-01-02 14:30:00,6.4206,40.64
2018-01-02 14:40:00,6.9788,40.63
2018-01-02 14:50:00,6.1725,34.7
2018-01-02 15:00:00,7.0408,24.78
2018-01-02 15:10:00,7.6362,30.62
2018-01-02 15:20:00,7.5431,31.4
2018-01-02 15:30:00,7.4315,36.44
2018-01-02 15:40:00,7.4315,35.4
2018-01-02 15:50:00,6.9602,38.26
2018-01-02 16:00:00,6.1043,29.95
2018-01-02 16:10:00,7.0346,31.4
2018-01-02 16:20:00,7.3323,32.29
2018-01-02 16:30:00,7.8533,29.55
2018-01-02 16:40:00,4.738,39.14
2018-01-02 16:50:00,2.8625,52.31
2018-01-02 17:00:00,2.9258,59.47
2018-01-02 17:10:00,4.0713,54.59
2018-01-02 17:20:00,2.6231,78.74
2018-01-02 17:30:00,2.5617,51.16
2018-01-02 17:40:00,3.2762,39.21
2018-01-02 17:50:00,3.8108,42.6
2018-01-02 18:00:00,4.6921,45.41
2018-01-02 18:10:00,4.0006,68.44
2018-01-02 18:20:00,3.3618,74.11
2018-01-02 18:30:00,3.2061,76.73
2018-01-02 18:40:00,4.4204,60.76
2018-01-02 18:50:00,4.7355,48.92
2018-01-02 19:00:00,5.5151,37.5
2018-01-02 19:10:00,5.6453,39.19
2018-01-02 19:20:00,5.236000000000001,39.1
2018-01-02 19:30:00,4.1928,53.63
2018-01-02 19:40:00,4.351,68.21
2018-01-02 19:50:00,3.7178,88.9
2018-01-02 20:00:00,4.6623,98.9
2018-01-02 20:10:00,5.6329,104.3
2018-01-02 20:20:00,5.8438,108.1
2018-01-02 20:30:00,6.0919,106.0
2018-01-02 20:40:00,6.6935,108.0
2018-01-02 20:50:00,6.7741,104.7
2018-01-02 21:00:00,6.3586,96.2
2018-01-02 21:10:00,5.4469,92.7
2018-01-02 21:20:00,4.529,89.0
2018-01-02 21:30:00,3.8480000000000003,97.4
2018-01-02 21:40:00,3.647,104.6
2018-01-02 21:50:00,3.7581,95.5
2018-01-02 22:00:00,2.8761,84.7
2018-01-02 22:10:00,3.3866,86.7
2018-01-02 22:20:00,4.2766,91.3
2018-01-02 22:30:00,4.4018,97.4
2018-01-02 22:40:00,3.884,94.6
2018-01-02 22:50:00,4.3863,102.9
2018-01-02 23:00:00,5.2174,104.8
2018-01-02 23:10:00,5.205,102.7
2018-01-02 23:20:00,5.6019,105.9
2018-01-02 23:30:00,5.5771,108.7
2018-01-02 23:40:00,5.4345,109.3
2018-01-02 23:50:00,5.0437,110.7
2018-01-03 00:00:00,4.9414,115.6
2018-01-03 00:10:00,4.7808,117.5
2018-01-03 00:20:00,5.1926,118.7
2018-01-03 00:30:00,4.8062,118.3
2018-01-03 00:40:00,4.6822,124.5
2018-01-03 00:50:00,4.4936,125.7
2018-01-03 01:00:00,4.4868,124.6
