date,WS_80mA_mean,WD_78m_mean
2018-01-07 16:40:00,7.1741,273.9
2018-01-07 16:50:00,6.2358,272.9
2018-01-07 17:00:00,6.3228,256.6
2018-01-07 17:10:00,6.5279,254.0
2018-01-07 17:20:00,6.4409,261.5
2018-01-07 17:30:00,6.9753,256.8
2018-01-07 17:40:00,6.6397,263.4
2018-01-07 17:50:00,6.7143,248.3
2018-01-07 18:00:00,6.9753,254.7
2018-01-07 18:10:00,5.3783,256.0
2018-01-07 18:20:00,6.3477,250.9
2018-01-07 18:30:00,6.938,255.4
2018-01-07 18:40:00,6.8634,254.6
2018-01-07 18:50:00,6.0805,249.9
2018-01-07 19:00:00,6.1923,254.0
2018-01-07 19:10:00,6.4222,256.5
2018-01-07 19:20:00,5.9376,257.8
2018-01-07 19:30:00,5.7449,257.7
2018-01-07 19:40:00,5.8071,259.5
2018-01-07 19:50:00,5.5337,266.2
2018-01-07 20:00:00,6.3104,256.4
2018-01-07 20:10:00,7.0436,249.8
2018-01-07 20:20:00,6.9069,244.2
2018-01-07 20:30:00,6.9318,247.0
2018-01-07 20:40:00,7.5966,247.3
2018-01-07 20:50:00,7.2673,249.3
2018-01-07 21:00:00,7.2176,253.5
2018-01-07 21:10:00,7.5159,261.8
2018-01-07 21:20:00,7.8638,267.8
2018-01-07 21:30:00,8.0502,272.1
2018-01-07 21:40:00,8.0751,268.5
2018-01-07 21:50:00,8.2304,265.4
2018-01-07 22:00:00,8.0999,263.9
2018-01-07 22:10:00,7.1865,262.5
2018-01-07 22:20:00,6.8075,256.4
2018-01-07 22:30:00,6.5652,259.1
2018-01-07 22:40:00,6.0308,258.2
2018-01-07 22:50:00,6.3725,260.8
2018-01-07 23:00:00,7.3294,261.0
2018-01-07 23:10:00,7.2797,266.9
2018-01-07 23:20:00,6.3415,264.6
2018-01-07 23:30:00,5.7884,260.7
2018-01-07 23:40:00,5.689,270.7
2018-01-07 23:50:00,6.0556,276.2
2018-01-08 00:00:00,5.7387,275.7
2018-01-08 00:10:00,5.8195,270.5
2018-01-08 00:20:00,5.6269,272.7
2018-01-08 00:30:00,5.3286,270.5
2018-01-08 00:40:00,4.8483,265.2
2018-01-08 00:50:00,4.8614,275.8
2018-01-08 01:00:00,5.1279,284.6
2018-01-08 01:10:00,5.1,294.5
2018-01-08 01:20:00,4.8483,299.2
2018-01-08 01:30:00,5.1857,304.0
2018-01-08 01:40:00,6.037000000000001,311.0
2018-01-08 01:50:00,6.1364,312.2
2018-01-08 02:00:00,5.8195,308.6
2018-01-08 02:10:00,6.3228,313.2
2018-01-08 02:20:00,5.5399,315.3
2018-01-08 02:30:00,4.3549,311.0
2018-01-08 02:40:00,4.3115,316.0
2018-01-08 02:50:00,4.3326,321.2
2018-01-08 03:00:00,3.6528,318.9
2018-01-08 03:10:00,3.2284,322.8
2018-01-08 03:20:00,3.3135,319.5
2018-01-08 03:30:00,3.9132,326.7
2018-01-08 03:40:00,4.0952,323.6
2018-01-08 03:50:00,2.9413,325.2
2018-01-08 04:00:00,3.6988,349.6
2018-01-08 04:10:00,4.8409,7.202999999999999
2018-01-08 04:20:00,5.1733,4.4110000000000005
2018-01-08 04:30:00,5.8816,359.9
2018-01-08 04:40:00,5.6393,1.171
2018-01-08 04:50:00,4.0859,6.515
2018-01-08 05:00:00,7.9881,5.915
2018-01-08 05:10:00,7.9632,7.891
2018-01-08 05:20:00,7.9446,9.93
2018-01-08 05:30:00,6.8572,10.81
2018-01-08 05:40:00,5.9127,17.51
2018-01-08 05:50:00,5.0478,32.87
2018-01-08 06:00:00,4.7153,37.98
2018-01-08 06:10:00,5.4281,33.28
2018-01-08 06:20:00,5.0384,38.77
2018-01-08 06:30:00,5.0509,38.91
2018-01-08 06:40:00,6.502999999999999,41.28
2018-01-08 06:50:00,7.2238,39.58
2018-01-08 07:00:00,7.1058,44.34
2018-01-08 07:10:00,5.4964,50.86
2018-01-08 07:20:00,6.6584,49.62
2018-01-08 07:30:00,7.7829999999999995,53.06
2018-01-08 07:40:00,6.8323,59.11
2018-01-08 07:50:00,6.6211,58.78
2018-01-08 08:00:00,6.3912,64.5
2018-01-08 08:10:00,6.7764,68.48
2018-01-08 08:20:00,6.3539,68.54
2018-01-08 08:30:00,6.1551,68.05
2018-01-08 08:40:00,7.112,67.95
2018-01-08 08:50:00,7.2362,72.06
2018-01-08 09:00:00,6.9318,77.29
2018-01-08 09:10:00,6.4533,80.1
2018-01-08 09:20:00,6.6459,81.9
2018-01-08 09:30:00,6.3539,78.75
2018-01-08 09:40:00,7.8141,78.21
2018-01-08 09:50:00,8.0005,80.4
2018-01-08 10:00:00,7.5407,83.4
2018-01-08 10:10:00,8.3796,84.3
2018-01-08 10:20:00,8.3796,87.3
2018-01-08 10:30:00,8.1248,89.0
2018-01-08 10:40:00,9.7404,90.9
2018-01-08 10:50:00,10.057,97.8
2018-01-08 11:00:00,9.1438,96.1
2018-01-08 11:10:00,9.4421,109.4
2018-01-08 11:20:00,9.0817,99.8
2018-01-08 11:30:00,9.119,106.6
2018-01-08 11:40:00,8.5784,92.9
2018-01-08 11:50:00,8.2801,100.3
2018-01-08 12:00:00,8.1994,95.2
2018-01-08 12:10:00,8.945,94.3
2018-01-08 12:20:00,7.957000000000001,104.0
2018-01-08 12:30:00,8.1372,100.9
2018-01-08 12:40:00,7.4661,97.1
2018-01-08 12:50:00,7.8079,105.7
2018-01-08 13:00:00,7.3605,92.0
2018-01-08 13:10:00,6.1488,89.5
2018-01-08 13:20:00,7.2238,83.8
2018-01-08 13:30:00,6.6024,78.32
2018-01-08 13:40:00,6.5527,84.4
2018-01-08 13:50:00,5.3473,91.9
2018-01-08 14:00:00,5.1143,90.2
2018-01-08 14:10:00,6.297999999999999,102.2
2018-01-08 14:20:00,5.6642,84.1
2018-01-08 14:30:00,5.5772,95.0
2018-01-08 14:40:00,6.5838,88.0
2018-01-08 14:50:00,6.4285,90.3
2018-01-08 15:00:00,5.8941,107.6
2018-01-08 15:10:00,5.3411,96.6
2018-01-08 15:20:00,5.7449,96.8
2018-01-08 15:30:00,6.0432,105.3
2018-01-08 15:40:00,6.3974,109.1
2018-01-08 15:50:00,5.8133,76.51
2018-01-08 16:00:00,5.7574,84.1
2018-01-08 16:10:00,5.1857,96.4
2018-01-08 16:20:00,4.7029,82.2
2018-01-08 16:30:00,5.4156,89.7
2018-01-08 16:40:00,5.1981,96.8
2018-01-08 16:50:00,5.5399,107.3
2018-01-08 17:00:00,6.0929,94.7
2018-01-08 17:10:00,5.3659,85.5
2018-01-08 17:20:00,6.1426,110.7
2018-01-08 17:30:00,5.2479,103.5
2018-01-08 17:40:00,5.95,98.1
2018-01-08 17:50:00,5.4778,94.0
2018-01-08 18:00:00,5.223,101.9
2018-01-08 18:10:00,5.6952,98.4
2018-01-08 18:20:00,6.1053,94.7
2018-01-08 18:30:00,5.5772,99.1
2018-01-08 18:40:00,5.484,97.5
2018-01-08 18:50:00,5.8754,96.8
2018-01-08 19:00:00,6.385,91.8
2018-01-08 19:10:00,6.6335,90.6
2018-01-08 19:20:00,6.0556,91.0
2018-01-08 19:30:00,6.0619,95.0
2018-01-08 19:40:00,5.9127,94.1
2018-01-08 19:50:00,5.8319,96.9
2018-01-08 20:00:00,5.1286,97.9
2018-01-08 20:10:00,4.7632,103.0
2018-01-08 20:20:00,4.8875,95.5
2018-01-08 20:30:00,4.9353,88.9
2018-01-08 20:40:00,4.6967,91.1
2018-01-08 20:50:00,4.9887,92.5
2018-01-08 21:00:00,5.6828,83.0
2018-01-08 21:10:00,5.6455,75.43
2018-01-08 21:20:00,5.776,72.94
2018-01-08 21:30:00,5.8444,73.23
2018-01-08 21:40:00,5.8133,72.32
2018-01-08 21:50:00,6.5403,71.22
2018-01-08 22:00:00,6.6708,74.78
2018-01-08 22:10:00,6.1861,78.16
2018-01-08 22:20:00,5.7884,82.6
2018-01-08 22:30:00,4.9887,86.1
2018-01-08 22:40:00,4.4637,88.9
2018-01-08 22:50:00,4.0113,85.9
2018-01-08 23:00:00,3.8728,92.0
2018-01-08 23:10:00,3.4415,97.9
2018-01-08 23:20:00,3.91,99.6
2018-01-08 23:30:00,4.1822,99.4
2018-01-08 23:40:00,5.2292,104.0
2018-01-08 23:50:00,5.9811,101.4
2018-01-09 00:00:00,6.2545,100.7
2018-01-09 00:10:00,6.0681,104.9
2018-01-09 00:20:00,5.5772,98.6
2018-01-09 00:30:00,5.3535,97.2
2018-01-09 00:40:00,5.1534,97.6
2018-01-09 00:50:00,5.9251,99.1
2018-01-09 01:00:00,6.4471,97.7
2018-01-09 01:10:00,6.1923,103.8
2018-01-09 01:20:00,6.4285,107.3
2018-01-09 01:30:00,6.4782,103.8
2018-01-09 01:40:00,6.4285,103.3
2018-01-09 01:50:00,6.8261,104.3
2018-01-09 02:00:00,6.6584,103.4
2018-01-09 02:10:00,6.5776,104.1
2018-01-09 02:20:00,6.2545,107.0
2018-01-09 02:30:00,6.1923,109.7
2018-01-09 02:40:00,6.4657,106.6
2018-01-09 02:50:00,6.6211,107.9
2018-01-09 03:00:00,6.472,108.2
2018-01-09 03:10:00,6.6522,109.3
2018-01-09 03:20:00,6.416,115.2
2018-01-09 03:30:00,6.8386,115.9
2018-01-09 03:40:00,6.2918,114.6
2018-01-09 03:50:00,5.7325,115.2
2018-01-09 04:00:00,5.7387,115.1
2018-01-09 04:10:00,5.8444,117.1
2018-01-09 04:20:00,6.1613,111.0
2018-01-09 04:30:00,6.1364,108.9
2018-01-09 04:40:00,5.9438,108.2
2018-01-09 04:50:00,6.0556,105.9
2018-01-09 05:00:00,5.8319,106.0
2018-01-09 05:10:00,5.8879,104.4
2018-01-09 05:20:00,6.0494,105.4
2018-01-09 05:30:00,6.1737,102.6
2018-01-09 05:40:00,6.0867,102.0
2018-01-09 05:50:00,6.1364,100.4
2018-01-09 06:00:00,6.1737,99.9
2018-01-09 06:10:00,6.1551,101.3
2018-01-09 06:20:00,5.7015,100.9
2018-01-09 06:30:00,5.7263,100.0
2018-01-09 06:40:00,5.7015,100.4
2018-01-09 06:50:00,5.776,101.1
2018-01-09 07:00:00,5.7636,100.8
2018-01-09 07:10:00,5.6828,103.3
2018-01-09 07:20:00,5.9438,104.7
2018-01-09 07:30:00,5.9811,107.3
2018-01-09 07:40:00,6.0246,108.0
2018-01-09 07:50:00,6.3166,107.8
2018-01-09 08:00:00,6.3974,106.6
2018-01-09 08:10:00,6.1302,105.7
2018-01-09 08:20:00,5.9935,106.4
2018-01-09 08:30:00,5.7077,104.4
2018-01-09 08:40:00,5.7698,102.8
2018-01-09 08:50:00,5.9251,106.4
2018-01-09 09:00:00,5.3908,108.3
2018-01-09 09:10:00,5.5337,107.2
2018-01-09 09:20:00,5.4405,105.6
2018-01-09 09:30:00,4.5942,103.4
2018-01-09 09:40:00,4.8843,101.2
2018-01-09 09:50:00,5.2727,100.9
2018-01-09 10:00:00,5.3038,105.5
2018-01-09 10:10:00,4.9651,107.9
2018-01-09 10:20:00,4.3512,110.0
2018-01-09 10:30:00,4.3363,113.1
2018-01-09 10:40:00,4.3655,113.5
2018-01-09 10:50:00,4.2798,117.4
2018-01-09 11:00:00,3.8467,131.2
2018-01-09 11:10:00,3.9977,139.9
2018-01-09 11:20:00,4.4668,132.5
2018-01-09 11:30:00,4.0704,134.4
2018-01-09 11:40:00,3.6149,130.5
2018-01-09 11:50:00,3.4428,145.0
2018-01-09 12:00:00,3.2999,124.6
2018-01-09 12:10:00,2.7891,123.4
2018-01-09 12:20:00,2.2696,116.2
2018-01-09 12:30:00,2.5635,134.4
2018-01-09 12:40:00,1.4743,105.9
2018-01-09 12:50:00,2.2945,99.5
2018-01-09 13:00:00,2.7885,155.9
2018-01-09 13:10:00,1.4028,2.955
2018-01-09 13:20:00,2.8537,124.8
2018-01-09 13:30:00,1.6159,153.0
2018-01-09 13:40:00,1.4358,189.5
2018-01-09 13:50:00,3.2023,195.2
2018-01-09 14:00:00,2.0385,198.5
2018-01-09 14:10:00,2.7313,147.6
2018-01-09 14:20:00,2.7512,146.1
2018-01-09 14:30:00,2.5542,114.9
2018-01-09 14:40:00,1.3456,147.2
2018-01-09 14:50:00,3.6621,116.9
2018-01-09 15:00:00,2.512,92.1
2018-01-09 15:10:00,2.5138,69.3
2018-01-09 15:20:00,1.7930000000000001,67.5
2018-01-09 15:30:00,1.7961,102.4
2018-01-09 15:40:00,2.2404,65.18
2018-01-09 15:50:00,2.6425,91.1
2018-01-09 16:00:00,2.0602,41.43
2018-01-09 16:10:00,0.9952,283.1
2018-01-09 16:20:00,1.6147,296.1
2018-01-09 16:30:00,1.3102,207.7
2018-01-09 16:40:00,2.2671,271.3
2018-01-09 16:50:00,3.6373,313.4
2018-01-09 17:00:00,3.4254,310.9
2018-01-09 17:10:00,5.0832,315.8
2018-01-09 17:20:00,5.8319,319.6
2018-01-09 17:30:00,4.3935,319.6
2018-01-09 17:40:00,3.4602,316.4
2018-01-09 17:50:00,4.1779,319.6
2018-01-09 18:00:00,5.7015,307.3
2018-01-09 18:10:00,4.7601,320.8
2018-01-09 18:20:00,4.8607,290.2
2018-01-09 18:30:00,4.4513,295.2
2018-01-09 18:40:00,4.3823,288.0
2018-01-09 18:50:00,3.3197,294.2
2018-01-09 19:00:00,3.6398,292.3
2018-01-09 19:10:00,3.7858,283.8
2018-01-09 19:20:00,4.2332,294.2
2018-01-09 19:30:00,4.5569,290.4
2018-01-09 19:40:00,4.7396,287.8
2018-01-09 19:50:00,5.0428,295.5
2018-01-09 20:00:00,4.9527,299.5
