date,WS_80mA_mean,WD_78m_mean
2018-01-01 00:00:00,1.129,95.7
2018-01-01 00:10:00,1.0787,125.0
2018-01-01 00:20:00,0.97199,142.0
2018-01-01 00:30:00,0.8733200000000001,104.4
2018-01-01 00:40:00,1.0247,54.52
2018-01-01 00:50:00,0.94158,61.73
2018-01-01 01:00:00,0.75045,74.31
2018-01-01 01:10:00,0.81995,45.38
2018-01-01 01:20:00,0.46685,55.25
2018-01-01 01:30:00,0.21056,125.3
2018-01-01 01:40:00,0.8888299999999999,145.8
2018-01-01 01:50:00,1.7433,159.3
2018-01-01 02:00:00,2.3962,158.0
2018-01-01 02:10:00,2.1666,151.0
2018-01-01 02:20:00,2.7288,146.4
2018-01-01 02:30:00,2.8213,144.8
2018-01-01 02:40:00,3.0577,144.2
2018-01-01 02:50:00,3.6534,143.2
2018-01-01 03:00:00,3.6125,151.7
2018-01-01 03:10:00,3.9724,152.3
2018-01-01 03:20:00,2.8262,154.6
2018-01-01 03:30:00,1.7793,167.0
2018-01-01 03:40:00,1.317,166.3
2018-01-01 03:50:00,1.2748,197.6
2018-01-01 04:00:00,1.3946,198.2
2018-01-01 04:10:00,1.0589,222.3
2018-01-01 04:20:00,0.44017,305.8
2018-01-01 04:30:00,0.39487,315.5
2018-01-01 04:40:00,0.68653,320.1
2018-01-01 04:50:00,0.7380399999999999,344.5
2018-01-01 05:00:00,0.58103,343.5
2018-01-01 05:10:00,0.58786,357.8
2018-01-01 05:20:00,0.68839,357.3
2018-01-01 05:30:00,0.55373,276.8
2018-01-01 05:40:00,0.74921,248.7
2018-01-01 05:50:00,0.83857,238.0
2018-01-01 06:00:00,1.1879,270.1
2018-01-01 06:10:00,1.636,283.1
2018-01-01 06:20:00,2.012,305.1
2018-01-01 06:30:00,2.3503,318.3
2018-01-01 06:40:00,2.2894,326.3
2018-01-01 06:50:00,2.614,344.9
2018-01-01 07:00:00,1.798,343.6
2018-01-01 07:10:00,0.82616,317.5
2018-01-01 07:20:00,0.67784,312.2
2018-01-01 07:30:00,0.45444,350.6
2018-01-01 07:40:00,0.96578,47.95
2018-01-01 07:50:00,1.1619,48.88
2018-01-01 08:00:00,1.1743,51.97
2018-01-01 08:10:00,1.716,65.7
2018-01-01 08:20:00,1.7942,66.64
2018-01-01 08:30:00,2.3887,59.76
2018-01-01 08:40:00,2.426,65.73
2018-01-01 08:50:00,2.9410000000000003,89.6
2018-01-01 09:00:00,3.4393,107.6
2018-01-01 09:10:00,4.1437,99.8
2018-01-01 09:20:00,4.6674,101.4
2018-01-01 09:30:00,5.2681,107.2
2018-01-01 09:40:00,5.0646,124.0
2018-01-01 09:50:00,4.7481,131.6
2018-01-01 10:00:00,4.2225,131.7
2018-01-01 10:10:00,4.4273,131.3
2018-01-01 10:20:00,4.2026,132.4
2018-01-01 10:30:00,4.0022,121.5
2018-01-01 10:40:00,3.3413,126.9
2018-01-01 10:50:00,3.9538,124.8
2018-01-01 11:00:00,4.2026,124.0
2018-01-01 11:10:00,4.0624,127.7
2018-01-01 11:20:00,3.9197,128.1
2018-01-01 11:30:00,3.8812,125.7
2018-01-01 11:40:00,4.4273,99.4
2018-01-01 11:50:00,4.1058,89.6
2018-01-01 12:00:00,4.3218,80.5
2018-01-01 12:10:00,4.4781,80.1
2018-01-01 12:20:00,4.8325,73.38
2018-01-01 12:30:00,4.6674,75.75
2018-01-01 12:40:00,4.3671,74.83
2018-01-01 12:50:00,4.9101,70.12
2018-01-01 13:00:00,4.8958,69.91
2018-01-01 13:10:00,5.0311,71.48
2018-01-01 13:20:00,4.3075,66.57
2018-01-01 13:30:00,3.5275,65.69
2018-01-01 13:40:00,3.4263,61.52
2018-01-01 13:50:00,3.4108,51.55
2018-01-01 14:00:00,3.2935,57.31
2018-01-01 14:10:00,3.2966,63.85
2018-01-01 14:20:00,3.6844,53.01
2018-01-01 14:30:00,3.3674,56.71
2018-01-01 14:40:00,3.4542,54.25
2018-01-01 14:50:00,3.1067,57.12
2018-01-01 15:00:00,3.3425,56.66
2018-01-01 15:10:00,3.2557,64.13
2018-01-01 15:20:00,3.5492,75.37
2018-01-01 15:30:00,3.5473,60.91
2018-01-01 15:40:00,3.9234,61.1
2018-01-01 15:50:00,4.5594,67.54
2018-01-01 16:00:00,4.2082,74.19
2018-01-01 16:10:00,3.9041,75.7
2018-01-01 16:20:00,4.7295,66.78
2018-01-01 16:30:00,4.1617,70.31
2018-01-01 16:40:00,4.4881,67.68
2018-01-01 16:50:00,4.0655,73.38
2018-01-01 17:00:00,4.3559,68.68
2018-01-01 17:10:00,4.364,67.63
2018-01-01 17:20:00,3.7415,66.4
2018-01-01 17:30:00,3.4828,57.06
2018-01-01 17:40:00,3.0105,55.23
2018-01-01 17:50:00,3.1818,57.68
2018-01-01 18:00:00,2.9131,61.37
2018-01-01 18:10:00,3.0453,51.3
2018-01-01 18:20:00,3.3549,46.39
2018-01-01 18:30:00,3.1129,45.07
2018-01-01 18:40:00,3.4511,49.64
2018-01-01 18:50:00,4.2579,44.74
2018-01-01 19:00:00,4.6693,44.73
2018-01-01 19:10:00,4.5402,47.38
2018-01-01 19:20:00,4.3298,52.74
2018-01-01 19:30:00,3.4207,64.83
2018-01-01 19:40:00,3.4158,65.17
2018-01-01 19:50:00,3.7217,60.76
2018-01-01 20:00:00,3.9321,56.89
2018-01-01 20:10:00,3.8439,58.9
2018-01-01 20:20:00,3.8129,62.38
2018-01-01 20:30:00,4.1772,73.41
2018-01-01 20:40:00,4.9063,76.1
2018-01-01 20:50:00,5.2433,80.7
2018-01-01 21:00:00,5.386,79.48
2018-01-01 21:10:00,5.2619,78.79
2018-01-01 21:20:00,4.7357,81.9
2018-01-01 21:30:00,4.5898,81.3
2018-01-01 21:40:00,4.2858,88.2
2018-01-01 21:50:00,4.4633,89.5
2018-01-01 22:00:00,4.5098,87.9
2018-01-01 22:10:00,4.6339,80.2
2018-01-01 22:20:00,4.6929,77.56
2018-01-01 22:30:00,4.9622,81.3
2018-01-01 22:40:00,5.0571,84.5
2018-01-01 22:50:00,5.386,91.3
2018-01-01 23:00:00,5.2867,108.8
2018-01-01 23:10:00,5.1688,113.9
2018-01-01 23:20:00,5.082,112.7
2018-01-01 23:30:00,5.0149,115.5
2018-01-01 23:40:00,4.4056,131.6
2018-01-01 23:50:00,4.0072,131.0
2018-01-02 00:00:00,3.489,129.7
2018-01-02 00:10:00,4.0109,104.4
2018-01-02 00:20:00,3.7931,110.1
2018-01-02 00:30:00,3.8948,118.1
2018-01-02 00:40:00,3.1818,124.3
2018-01-02 00:50:00,3.4946,122.8
2018-01-02 01:00:00,2.8337,124.9
2018-01-02 01:10:00,3.2358,118.8
2018-01-02 01:20:00,3.219,119.0
2018-01-02 01:30:00,3.6931,119.9
2018-01-02 01:40:00,4.0537,108.3
2018-01-02 01:50:00,3.8998,94.4
2018-01-02 02:00:00,4.0798,100.2
2018-01-02 02:10:00,3.8855,90.1
2018-01-02 02:20:00,3.9165,92.4
2018-01-02 02:30:00,3.6063,87.2
2018-01-02 02:40:00,3.2587,86.8
2018-01-02 02:50:00,3.6733,81.3
2018-01-02 03:00:00,4.1095,71.34
2018-01-02 03:10:00,3.847,78.71
2018-01-02 03:20:00,3.5076,79.11
2018-01-02 03:30:00,3.5721,66.17
2018-01-02 03:40:00,3.1787,72.88
2018-01-02 03:50:00,3.6379,77.73
2018-01-02 04:00:00,3.6007,72.75
2018-01-02 04:10:00,3.3214,78.44
2018-01-02 04:20:00,3.1874,83.8
2018-01-02 04:30:00,3.1148,83.2
2018-01-02 04:40:00,3.1477,84.3
2018-01-02 04:50:00,3.2668,71.68
2018-01-02 05:00:00,3.0602,64.56
2018-01-02 05:10:00,3.1812,53.25
2018-01-02 05:20:00,3.9227,52.11
2018-01-02 05:30:00,3.9854,56.81
2018-01-02 05:40:00,3.3829,54.59
2018-01-02 05:50:00,3.7341,57.96
2018-01-02 06:00:00,3.3487,48.08
2018-01-02 06:10:00,2.5811,45.33
2018-01-02 06:20:00,3.0825,35.9
2018-01-02 06:30:00,3.2265,42.51
2018-01-02 06:40:00,2.2956,50.63
2018-01-02 06:50:00,2.1759,49.06
2018-01-02 07:00:00,3.5789999999999997,48.88
2018-01-02 07:10:00,4.987,46.2
2018-01-02 07:20:00,4.8852,60.41
2018-01-02 07:30:00,5.6156,61.43
2018-01-02 07:40:00,6.5589,61.28
2018-01-02 07:50:00,6.6644,66.45
2018-01-02 08:00:00,6.3231,63.1
2018-01-02 08:10:00,5.4729,63.26
2018-01-02 08:20:00,6.2734,61.26
2018-01-02 08:30:00,6.5527,60.83
2018-01-02 08:40:00,6.8506,62.56
2018-01-02 08:50:00,6.7947,61.42
2018-01-02 09:00:00,6.5899,59.33
2018-01-02 09:10:00,6.8133,59.86
2018-01-02 09:20:00,6.1369,60.55
2018-01-02 09:30:00,5.7832,61.6
2018-01-02 09:40:00,5.4481,66.78
2018-01-02 09:50:00,5.5412,69.03
2018-01-02 10:00:00,6.2983,75.31
2018-01-02 10:10:00,6.7078,75.91
2018-01-02 10:20:00,5.7087,80.9
2018-01-02 10:30:00,4.9703,82.1
2018-01-02 10:40:00,4.4695,76.95
2018-01-02 10:50:00,6.0873,75.75
2018-01-02 11:00:00,6.6209,74.29
2018-01-02 11:10:00,7.3098,77.22
2018-01-02 11:20:00,7.1484,70.54
2018-01-02 11:30:00,7.7876,70.87
2018-01-02 11:40:00,6.5527,63.62
2018-01-02 11:50:00,8.4454,61.05
2018-01-02 12:00:00,7.8869,62.92
2018-01-02 12:10:00,7.9613,67.11
2018-01-02 12:20:00,7.3904,62.14
2018-01-02 12:30:00,8.4392,58.56
2018-01-02 12:40:00,8.9108,61.14
2018-01-02 12:50:00,7.4835,63.08
2018-01-02 13:00:00,8.0606,56.98
2018-01-02 13:10:00,8.7495,62.21
2018-01-02 13:20:00,9.581,61.01
2018-01-02 13:30:00,8.6502,63.46
2018-01-02 13:40:00,8.6192,77.29
2018-01-02 13:50:00,7.6821,74.6
2018-01-02 14:00:00,8.0296,77.07
2018-01-02 14:10:00,8.6564,74.28
2018-01-02 14:20:00,8.4268,73.58
2018-01-02 14:30:00,9.097000000000001,71.08
2018-01-02 14:40:00,8.5943,71.33
2018-01-02 14:50:00,8.7433,71.19
2018-01-02 15:00:00,8.8053,70.52
