date,WS_80mA_mean,WD_78m_mean
2018-01-01 00:00:00,6.7622,54.46
2018-01-01 00:10:00,7.7598,53.16
2018-01-01 00:20:00,8.1687,55.93
2018-01-01 00:30:00,7.5367,59.09
2018-01-01 00:40:00,5.5416,63.53
2018-01-01 00:50:00,4.5409,67.65
2018-01-01 01:00:00,4.4337,71.54
2018-01-01 01:10:00,4.3054,79.15
2018-01-01 01:20:00,3.7558,77.04
2018-01-01 01:30:00,3.4175,80.3
2018-01-01 01:40:00,2.1789,95.1
2018-01-01 01:50:00,2.3609999999999998,85.6
2018-01-01 02:00:00,4.8463,76.64
2018-01-01 02:10:00,4.2143,85.6
2018-01-01 02:20:00,3.35,110.9
2018-01-01 02:30:00,3.3747,112.8
2018-01-01 02:40:00,3.4782,92.9
2018-01-01 02:50:00,4.4510000000000005,105.9
2018-01-01 03:00:00,5.4424,108.0
2018-01-01 03:10:00,5.5106,115.0
2018-01-01 03:20:00,5.3185,108.9
2018-01-01 03:30:00,4.8116,104.9
2018-01-01 03:40:00,4.8984,104.0
2018-01-01 03:50:00,4.3891,110.1
2018-01-01 04:00:00,4.1957,110.6
2018-01-01 04:10:00,3.9845,109.6
2018-01-01 04:20:00,3.7310000000000003,116.3
2018-01-01 04:30:00,3.6876,117.3
2018-01-01 04:40:00,4.0452,113.3
2018-01-01 04:50:00,2.9063,104.8
2018-01-01 05:00:00,1.8226,76.31
2018-01-01 05:10:00,1.9106,80.2
2018-01-01 05:20:00,1.83,94.1
2018-01-01 05:30:00,1.5834,111.9
2018-01-01 05:40:00,1.931,71.71
2018-01-01 05:50:00,4.8092,58.93
2018-01-01 06:00:00,5.3185,62.29
2018-01-01 06:10:00,3.8054,60.99
2018-01-01 06:20:00,6.2169,52.04
2018-01-01 06:30:00,7.0224,52.41
2018-01-01 06:40:00,7.8651,53.51
2018-01-01 06:50:00,9.1973,52.79
2018-01-01 07:00:00,9.1354,50.6
2018-01-01 07:10:00,10.418,52.23
2018-01-01 07:20:00,10.691,53.27
2018-01-01 07:30:00,8.0138,57.55
2018-01-01 07:40:00,7.0286,57.56
2018-01-01 07:50:00,7.1278,55.69
2018-01-01 08:00:00,4.9021,61.56
2018-01-01 08:10:00,4.7212,60.7
2018-01-01 08:20:00,4.7652,55.04
2018-01-01 08:30:00,6.7436,52.25
2018-01-01 08:40:00,7.8218,50.27
2018-01-01 08:50:00,8.8627,48.72
2018-01-01 09:00:00,8.7326,49.24
2018-01-01 09:10:00,8.1564,46.83
2018-01-01 09:20:00,9.1415,52.94
2018-01-01 09:30:00,10.028,54.17
2018-01-01 09:40:00,10.195,53.5
2018-01-01 09:50:00,9.8975,51.29
2018-01-01 10:00:00,8.9557,48.64
2018-01-01 10:10:00,9.3708,51.22
2018-01-01 10:20:00,7.5677,51.8
2018-01-01 10:30:00,8.1564,57.44
2018-01-01 10:40:00,8.02,52.96
2018-01-01 10:50:00,8.1502,53.69
2018-01-01 11:00:00,7.4128,53.79
2018-01-01 11:10:00,7.2145,52.18
2018-01-01 11:20:00,7.8837,49.17
2018-01-01 11:30:00,6.5949,45.33
2018-01-01 11:40:00,6.9357,56.95
2018-01-01 11:50:00,5.6593,50.67
2018-01-01 12:00:00,5.7894,54.27
2018-01-01 12:10:00,4.7453,47.7
2018-01-01 12:20:00,4.992,61.35
2018-01-01 12:30:00,4.5452,62.33
2018-01-01 12:40:00,5.4734,59.91
2018-01-01 12:50:00,4.0266,51.79
2018-01-01 13:00:00,3.0488,63.95
2018-01-01 13:10:00,2.8338,77.2
2018-01-01 13:20:00,3.4330000000000003,83.5
2018-01-01 13:30:00,3.4008,78.71
2018-01-01 13:40:00,2.1727,54.1
2018-01-01 13:50:00,2.0487,76.68
2018-01-01 14:00:00,2.8028,90.0
2018-01-01 14:10:00,2.6771,110.1
2018-01-01 14:20:00,3.1919999999999997,102.8
2018-01-01 14:30:00,3.9541,90.8
2018-01-01 14:40:00,3.9442,66.19
2018-01-01 14:50:00,5.0353,79.59
2018-01-01 15:00:00,5.4734,93.2
2018-01-01 15:10:00,5.1698,107.8
2018-01-01 15:20:00,5.15,113.0
2018-01-01 15:30:00,5.9257,125.3
2018-01-01 15:40:00,5.8576,127.7
2018-01-01 15:50:00,6.0744,123.4
2018-01-01 16:00:00,5.1419,112.5
2018-01-01 16:10:00,5.5725,97.7
2018-01-01 16:20:00,7.1402,121.1
2018-01-01 16:30:00,8.5901,128.0
2018-01-01 16:40:00,8.6273,117.5
2018-01-01 16:50:00,7.7536,122.2
2018-01-01 17:00:00,8.2245,125.2
2018-01-01 17:10:00,8.5095,127.4
2018-01-01 17:20:00,7.6421,124.5
2018-01-01 17:30:00,8.4414,119.2
2018-01-01 17:40:00,7.0658,109.1
2018-01-01 17:50:00,6.725,106.1
2018-01-01 18:00:00,7.1278,101.8
2018-01-01 18:10:00,7.1216,112.8
2018-01-01 18:20:00,7.6544,115.6
2018-01-01 18:30:00,7.3756,115.2
2018-01-01 18:40:00,6.3161,109.4
2018-01-01 18:50:00,6.2107,100.6
2018-01-01 19:00:00,4.9665,94.5
2018-01-01 19:10:00,4.3643,89.1
2018-01-01 19:20:00,5.7646,74.8
2018-01-01 19:30:00,5.9753,77.4
2018-01-01 19:40:00,5.4548,79.0
2018-01-01 19:50:00,7.0348,77.32
2018-01-01 20:00:00,7.5305,72.96
2018-01-01 20:10:00,8.113,72.42
2018-01-01 20:20:00,8.1935,62.98
2018-01-01 20:30:00,7.7412,52.58
2018-01-01 20:40:00,8.6149,44.69
2018-01-01 20:50:00,10.542,51.12
2018-01-01 21:00:00,10.585,52.47
2018-01-01 21:10:00,9.8603,52.22
2018-01-01 21:20:00,10.238,54.09
2018-01-01 21:30:00,10.783,54.58
2018-01-01 21:40:00,12.302,53.26
2018-01-01 21:50:00,11.577,53.2
2018-01-01 22:00:00,11.955,51.16
2018-01-01 22:10:00,10.982,52.48
2018-01-01 22:20:00,11.081,53.66
