date,WS_80mA_mean,WD_78m_mean
2018-01-01 00:00:00,9.1229,340.1
2018-01-01 00:10:00,10.476,339.8
2018-01-01 00:20:00,10.054,341.7
2018-01-01 00:30:00,11.028,334.5
2018-01-01 00:40:00,12.387,335.7
2018-01-01 00:50:00,12.158,333.7
2018-01-01 01:00:00,12.114,339.0
2018-01-01 01:10:00,10.941,335.2
2018-01-01 01:20:00,11.587,336.6
2018-01-01 01:30:00,13.809,338.3
2018-01-01 01:40:00,12.307,339.0
2018-01-01 01:50:00,13.3,340.9
2018-01-01 02:00:00,12.741,343.1
2018-01-01 02:10:00,13.703,341.0
2018-01-01 02:20:00,15.422,342.9
2018-01-01 02:30:00,14.001,342.8
2018-01-01 02:40:00,13.48,342.5
2018-01-01 02:50:00,11.922,338.6
2018-01-01 03:00:00,11.152,339.9
2018-01-01 03:10:00,11.394,339.9
2018-01-01 03:20:00,13.722,343.0
2018-01-01 03:30:00,12.468,339.7
2018-01-01 03:40:00,12.077,341.2
2018-01-01 03:50:00,14.057,338.6
2018-01-01 04:00:00,13.008,337.2
2018-01-01 04:10:00,12.623,335.1
2018-01-01 04:20:00,12.263,339.3
2018-01-01 04:30:00,13.622,335.7
2018-01-01 04:40:00,13.827,333.5
2018-01-01 04:50:00,13.796,335.0
2018-01-01 05:00:00,14.268,337.9
2018-01-01 05:10:00,15.385,336.6
2018-01-01 05:20:00,14.491,337.9
2018-01-01 05:30:00,15.068,338.1
2018-01-01 05:40:00,15.149,337.6
2018-01-01 05:50:00,14.293,335.7
2018-01-01 06:00:00,14.957,338.2
2018-01-01 06:10:00,15.633,340.2
2018-01-01 06:20:00,14.311,339.8
2018-01-01 06:30:00,12.871,334.6
2018-01-01 06:40:00,14.305,331.6
2018-01-01 06:50:00,14.193,330.6
2018-01-01 07:00:00,13.722,330.2
2018-01-01 07:10:00,13.244000000000002,331.0
2018-01-01 07:20:00,13.802,331.3
2018-01-01 07:30:00,15.025,331.5
2018-01-01 07:40:00,13.914,334.1
2018-01-01 07:50:00,14.268,332.9
2018-01-01 08:00:00,14.106,331.1
2018-01-01 08:10:00,11.611,330.5
2018-01-01 08:20:00,12.511,333.3
2018-01-01 08:30:00,12.356,335.3
2018-01-01 08:40:00,14.715,335.3
2018-01-01 08:50:00,13.486,331.2
2018-01-01 09:00:00,13.343,333.0
2018-01-01 09:10:00,14.05,335.4
2018-01-01 09:20:00,16.893,336.5
2018-01-01 09:30:00,16.215999999999998,337.3
2018-01-01 09:40:00,16.936,338.4
2018-01-01 09:50:00,17.017,339.8
2018-01-01 10:00:00,16.8,337.9
2018-01-01 10:10:00,14.802,338.9
2018-01-01 10:20:00,15.031,339.8
2018-01-01 10:30:00,14.882,340.5
2018-01-01 10:40:00,14.566,342.8
2018-01-01 10:50:00,15.23,343.8
2018-01-01 11:00:00,13.48,342.6
2018-01-01 11:10:00,15.459,340.5
2018-01-01 11:20:00,14.553,344.7
2018-01-01 11:30:00,14.925999999999998,345.1
2018-01-01 11:40:00,13.92,346.1
2018-01-01 11:50:00,14.386,345.8
2018-01-01 12:00:00,14.417,351.9
2018-01-01 12:10:00,14.212,352.3
2018-01-01 12:20:00,14.733,350.5
2018-01-01 12:30:00,12.611,348.8
2018-01-01 12:40:00,10.755,353.6
2018-01-01 12:50:00,10.321,349.2
2018-01-01 13:00:00,9.3773,350.3
2018-01-01 13:10:00,10.861,352.1
2018-01-01 13:20:00,11.705,348.1
2018-01-01 13:30:00,13.511,348.7
2018-01-01 13:40:00,14.237,349.8
2018-01-01 13:50:00,12.977,344.2
2018-01-01 14:00:00,14.15,341.6
2018-01-01 14:10:00,12.449000000000002,350.7
2018-01-01 14:20:00,12.182,352.4
2018-01-01 14:30:00,13.585,345.5
2018-01-01 14:40:00,13.715,342.3
2018-01-01 14:50:00,15.608,350.7
2018-01-01 15:00:00,16.067,342.7
2018-01-01 15:10:00,17.085,343.8
2018-01-01 15:20:00,15.168,336.0
2018-01-01 15:30:00,15.763,340.8
2018-01-01 15:40:00,14.33,346.4
2018-01-01 15:50:00,13.188,344.9
2018-01-01 16:00:00,18.035,341.4
2018-01-01 16:10:00,18.749,344.8
2018-01-01 16:20:00,17.774,341.9
2018-01-01 16:30:00,17.271,343.3
2018-01-01 16:40:00,17.886,341.8
2018-01-01 16:50:00,18.128,343.7
2018-01-01 17:00:00,16.967,340.9
2018-01-01 17:10:00,16.614,340.8
2018-01-01 17:20:00,17.687,339.4
2018-01-01 17:30:00,16.707,335.1
2018-01-01 17:40:00,16.527,334.1
2018-01-01 17:50:00,15.602,337.0
2018-01-01 18:00:00,14.919,336.6
2018-01-01 18:10:00,14.130999999999998,337.0
2018-01-01 18:20:00,15.012,335.4
2018-01-01 18:30:00,15.143,336.6
2018-01-01 18:40:00,12.66,336.6
2018-01-01 18:50:00,14.764,337.2
2018-01-01 19:00:00,14.888,339.5
2018-01-01 19:10:00,16.167,341.2
2018-01-01 19:20:00,13.461,340.4
2018-01-01 19:30:00,13.076,340.9
2018-01-01 19:40:00,13.293,336.7
2018-01-01 19:50:00,11.841,337.0
2018-01-01 20:00:00,11.711,338.0
2018-01-01 20:10:00,11.469,337.3
2018-01-01 20:20:00,11.692,339.8
2018-01-01 20:30:00,12.089,338.0
2018-01-01 20:40:00,14.696,339.0
2018-01-01 20:50:00,14.2,336.0
2018-01-01 21:00:00,16.018,335.6
2018-01-01 21:10:00,16.837,336.2
2018-01-01 21:20:00,17.098,335.4
2018-01-01 21:30:00,17.935,332.5
2018-01-01 21:40:00,17.861,334.4
2018-01-01 21:50:00,16.85,333.5
